[text];[hashtagsearch];[createdata];[languagetweet];[idtweet];[idstrtweet];[source];[urlscount];[urls];[counthashtags];[dateget];[hashtags];[inreplytostatusid];[inreplytouserid];[searchresulttype];;;;;;
"	RT @tirunjr: já pensou presentear sua tia querida no amigo secreto com um desses #melhorpresente #familia #feliz #familiaperigosa ECoracao ?? {https}:…	";#Feliz;03/09/2017 02:12;pt;9,04165E+17;9,04165E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/ezBwznWWV9;";4;02/09/2017 23:27;"#melhorpresente;#familia;#feliz;#familiaperigosa;";9,03742E+17;519658893;Recent;;;;;;
"	já pensou presentear sua tia querida no amigo secreto com um desses #melhorpresente #familia #feliz… {https}://t.co/ezBwznWWV9	";#Feliz;03/09/2017 02:07;pt;9,04164E+17;9,04164E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";1;"https://t.co/MAskF3dLdS;";3;02/09/2017 23:27;"#melhorpresente;#familia;#feliz;";9,03776E+17;44627459;Recent;;;;;;
"	RT @BTSONCHAT: nam: hoje no shopping com o aniversariante #jungkook #feliz #aniversário #irmao ";",#Feliz""";03/09/2017 01:51;pt;9,0416E+17;9,0416E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/Lv0rHOiHgM;";4;02/09/2017 23:27;"#jungkook;#feliz;#aniversário;#irmao;";9,03764E+17;9,03724E+17;Recent;;;;;;
jimin: i me desmarca disso {https}://t.co/gPr…;#Feliz;03/09/2017 00:41;pt;9,04142E+17;9,04142E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/lgdeOdwjdV;";8;02/09/2017 23:27;"#Hola;#Sabado;#LindoDia;#Feliz;#Aburrida;#buenfinde;#Cansada;#Trabajo;";9,04084E+17;30708910;Recent;;;;;;
"	Lindo Sabadoooo ??ECoracao  #Hola #Sabado #LindoDia #Feliz #Aburrida #buenfinde #Cansada #Trabajo… {https}://t.co/MAskF3dLdS	";",#Feliz""";03/09/2017 00:41;pt;9,04142E+17;9,04142E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/nTDGkrWDAa;";4;02/09/2017 23:27;"#feliz;#vida;#teamo;#boanoite;";9,0396E+17;39072104;Recent;;;;;;
"	Se um minuto do seu lado já me deixa #feliz, imagine a #vida toda EGritando ESorridente ";#Feliz;03/09/2017 00:39;pt;9,04142E+17;9,04142E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/3bkl4AbYoR;";4;02/09/2017 23:27;"#casamentodoano;#quedeusteabencoe;#feliz;#sofiguras;";9,03854E+17;4614939688;Recent;;;;;;
#teamo EBeijo  #boanoite ECoracao  em… {https}://t.co/Lv0rHOiHgM;#Feliz;03/09/2017 00:22;pt;9,04137E+17;9,04137E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/VLPoiqnAhR;";3;02/09/2017 23:27;"#feliz;#aniversário;#amigo;";9,03832E+17;17194926;Recent;;;;;;
"	#casamentodoano #quedeusteabencoe #feliz #sofiguras em Comunidade São Paulo Apóstolo - Siderópolis {https}://t.co/lgdeOdwjdV	";#Feliz;03/09/2017 00:15;pt;9,04136E+17;9,04136E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/cNyRrS8V7F;";1;02/09/2017 23:27;"#feliz;";9,03832E+17;3302323973;Recent;;;;;;
"	#feliz #aniversário #amigo Luis Ricardo em La Zucca Eventos {https}://t.co/nTDGkrWDAa	";#Feliz;03/09/2017 00:03;pt;9,04133E+17;9,04133E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/ONGyvaTeCU;";1;02/09/2017 23:27;"#feliz;";9,03828E+17;325166433;Recent;;;;;;
"	comprei geladinho vulgo sacolé #feliz	";" cada dia é uma vida inteira."" ";02/09/2017 23:24;pt;9,04123E+17;9,04123E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/CjBrvHQ2lR;";3;02/09/2017 23:27;"#feliz;#plena;#grata;";9,03827E+17;2970885011;Recent;;;;;;
"	Nossa vida é prática.#feliz {https}://t.co/3bkl4AbYoR	";",#Feliz""";02/09/2017 23:14;pt;9,0412E+17;9,0412E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/mH0PeMXFG2;";3;02/09/2017 23:27;"#feliz;#fim;#hojetem;";9,03803E+17;200319267;Recent;;;;;;
"	Na plenitude da felicidade";#Feliz;02/09/2017 23:02;pt;9,04117E+17;9,04117E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/ktDpE6qd9u;";5;02/09/2017 23:27;"#Hoje;#rebelde;#causa;#correndo;#feliz;";"#Chateado;#ForcadoQuerer;";4515481912;Recent;;;;;;
#NOME?;#Feliz;02/09/2017 22:50;pt;9,04114E+17;9,04114E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/YGBvBNsNNj;";2;02/09/2017 23:27;"#felucidadeésóquestãodeser;#feliz;";9,03771E+17;2896006149;Recent;;;;;;
#feliz #plena #grata… {https}://t.co/VLPoiqnAhR;#Feliz;02/09/2017 21:28;pt;9,04094E+17;9,04094E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/2R03mt2NzF;";4;02/09/2017 23:27;"#gratidao;#amo;#feliz;#gratitude;";9,0377E+17;7,92876E+17;Recent;;;;;;
"	A mais pura verdade. Há males que vêm para bem. A vida segue #feliz #fim-de-semana #hojetem… {https}://t.co/cNyRrS8V7F	";",#Feliz""";02/09/2017 21:23;pt;9,04092E+17;9,04092E+17;"<a href=http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>""";0;"https://t.co/GTV2ndlwZF;";1;02/09/2017 23:27;"#feliz;";9,03654E+17;109383278;Recent;;;;;;
"	#Hoje eu sou um #rebelde sem #causa, #correndo pela madrugada pensando em ser #feliz! Mas é só… {https}://t.co/ONGyvaTeCU	";#Feliz;02/09/2017 21:18;pt;9,04091E+17;9,04091E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/WWu6yfUXQO;";1;02/09/2017 23:27;"#feliz;";9,03647E+17;8,88473E+17;Recent;;;;;;
"	O MELHOR E ESTAR FELIZ#felicidade #felucidadeésóquestãodeser #feliz {https}://t.co/CjBrvHQ2lR	";",#Feliz""";02/09/2017 21:07;pt;9,04088E+17;9,04088E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/nTikqPQTR6;";2;02/09/2017 23:27;"#Dorama;#feliz;";9,03631E+17;22630796;Recent;;;;;;
"	Entardecer!";#Feliz;02/09/2017 21:04;pt;9,04088E+17;9,04088E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/6Iw5IsSEAj;";1;02/09/2017 23:27;"#feliz;";9,03606E+17;62868838;Recent;;;;;;
#gratidao ;#Feliz;02/09/2017 21:00;pt;9,04087E+17;9,04087E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/aE6EpdJLFO;";3;02/09/2017 23:27;"#negalora;#casada;#Feliz;";9,03637E+17;340418935;Recent;;;;;;
#amo;#Feliz;02/09/2017 20:50;pt;9,04084E+17;9,04084E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/tS1mqiDhJZ;";3;02/09/2017 23:27;"#feliz;#equilibrio;#pessoasfelizes;";9,03632E+17;8,74539E+17;Recent;;;;;;
#feliz ;",#Feliz""";02/09/2017 20:31;pt;9,04079E+17;9,04079E+17;"<a href=https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>""";1;"https://t.co/8xeRVhobB1;";1;02/09/2017 23:27;"#Feliz;";9,03632E+17;60957484;Recent;;;;;;
#gratitude em Barra da Tijuca -… {https}://t.co/mH0PeMXFG2;",#Feliz""";02/09/2017 20:29;pt;9,04079E+17;9,04079E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/1q6hpez9Fv;";3;02/09/2017 23:27;"#feliz;#boracolocaropapoemdia;#Deusehbomtodotempo;";9,03617E+17;208776888;Recent;;;;;;
"	Hoje foi dia dele! Arthur dando um rolê com o Nicolas de moto zero...com ela junto #feliz	";",#Feliz""";02/09/2017 20:26;pt;9,04078E+17;9,04078E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/bP27zvEVtE;";1;02/09/2017 23:27;"#FELIZ;";9,03615E+17;3332015549;Recent;;;;;;
"	Vida nova ";#Feliz;02/09/2017 19:49;pt;9,04069E+17;9,04069E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/PtoUk4NqD0;";4;02/09/2017 23:27;"#mammys;#feliz;#super;#presente;";9,03563E+17;2482951156;Recent;;;;;;
?????ECasa ;",#Feliz""";02/09/2017 19:35;pt;9,04065E+17;9,04065E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/GTWTw3HuNu;";5;02/09/2017 23:27;"#amor;#esposo;#parque;#feliz;#destraido;";9,03454E+17;8,05018E+17;Recent;;;;;;
#feliz {https}://t.co/ktDpE6qd9u;",#Feliz""";02/09/2017 19:32;pt;9,04065E+17;9,04065E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/35nKnXz1pf;";1;02/09/2017 23:27;"#Feliz;";9,03452E+17;281551749;Recent;;;;;;
